"(eg: domain.com/identifier)","(eg: domain.com/identifier)"
"Action","Tác vụ"
"Add New Block","Thêm khối mới"
"Add New Page","Thêm trang mới"
"All countries","Tất cả các quốc gia"
"Block Information","Khối thông tin"
"Block Title","Tiêu đề khối"
"Block was successfully deleted","Khối đã được xóa"
"Block was successfully saved","Khối đã được lưu"
"CMS","Quản lý tin tức (CMS)"
"CMS Home Page","Trang chủ trang tin"
"CMS No Route Page","Không có trang dẫn hướng CMS()"
"Content","Nội dung"
"Custom Design","Tùy biến giao diện"
"Custom Theme","Tùy biến theme"
"Custom Theme From","Tùy biến theme từ"
"Custom Theme To","Tùy biến theme đến"
"Customer Tax Class Information","Tùy biến thông tin lớp thuế"
"Date Created","Ngày khởi tạo"
"Delete Block","Xóa khối"
"Delete Page","Xóa trang"
"Description","Mô tả"
"Disabled","Tắt"
"Edit Block","Chỉnh sửa khối"
"Edit Block '%s'","Chỉnh sửa khối '%s'"
"Edit Page","Chỉnh sửa trang"
"Edit Page '%s'","Chỉnh sửa trang '%s'"
"Enabled","Bật"
"General Information","Thông tin chung"
"Go to Home Page","Đến trang chủ"
"Home","Trang chủ"
"Identifier","Identifier"
"Keywords","Các từ khóa"
"Last Modified","Lần sử cuối"
"Layout","Layout"
"Layout Update XML","Layout Update XML"
"Manage Pages","Quản lý trang"
"Meta Data","Meta Data"
"Meta Description","Mô tả thẻ Meta"
"Meta Keywords","Từ khóa Meta"
"New Block","Khối mới"
"New Page","Trang mới"
"Page Identifier cannot consist only of numbers.","Identifier trang không thể chỉ gồm số."
"Page Identifier for specified store already exist.","Identifier của trang cho store đã tồn tại."
"Page Information","Thông tin trang"
"Page Status","Trạng thái trang"
"Page Title","Tiêu đề trang"
"Page was successfully deleted","Trang đã được xóa"
"Page was successfully saved","Trang đã được lưu"
"Poll Manager","Quản lý bình chọn (poll)"
"Product Tax Class Information","Thông tin lớp thuế sản phẩm"
"SEF URL Identifier","SEF URL Identifier"
"Save Block","Lưu khối"
"Save Page","Lưu trang"
"Show breadcrumbs for CMS pages","Hiển thị breadcrumbs cho trang tin (CMS)"
"Static Blocks","Khối tĩnh"
"Status","Trạng thái"
"Store View","Store View"
"Such a block identifier in selected store already exist.","Một identifier khối trong những lựa chọn đã tồn tại."
"The page you are trying to save no longer exists","Trang bạn đang lưu không còn tồn tại"
"This block no longer exists","Khối này không còn tồn tại"
"This page no longer exists","Trang này không còn tồn tại"
"Title","Tiêu đề"
"Unable to find a block to delete","Không thể tìm khối để xóa"
"Unable to find a page to delete","Không thể tìm trang để xóa"
