1 star,1 sao
2 stars,2 sao
3 stars,3 sao
4 stars,4 sao
5 stars,5 sao
Add New Rating,Thêm đánh giá mới
Assigned Options,Lựa chọn chức năng
Be the first to review this product,Hãy là người đầu tiên nhận xét sản phẩm này
Default Value,Giá trị mặc định
Delete Rating,Xóa đánh giá
Edit Rating,Sửa đánh giá
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.",Nếu bạn không đưa tiêu đề đánh giá. Giá trị mặc định sẽ được sử dụng
Manage Ratings,Quản lý đánh giá
New Rating,Đánh giá mới
Option Label,Nhãn lựa chọn
Option Title,Tiêu đề lựa chọn
Option Title:,Tiêu đề lựa chọn:
Please select one of each ratings above,Hãy chọn một trong các đánh giá phía trên
Rating Information,Thông tin đánh giá
Rating Name,Tên đánh giá
Rating Options,Các lựa chọn đánh giá
Rating Title,Tiêu đề đánh giá
Rating Visibility,Hiển thị đánh giá
Rating isn't Available,Đánh giá không tồn tại
Rating with the same title,Đánh giá trùng tiêu đề
Save Rating,Lưu đánh giá
Visible In,Hiển trị trong
