%d Review(s),%d nhận xét
%s Review(s),%s nhận xét
(Posted on %s),(Viết vào %s)
1 star,1 sao
2 stars,2 sao
3 stars,3 sao
4 stars,4 sao
5 stars,5 sao
Add New Review,Thêm nhận xét mới
Add Your Review,Thêm nhận xét của bạn
Administrator,Quản trị
All Reviews,Tất cả nhận xét
All reviews of customer `%s`,Tất cả nhận xét của khách hàng `%s`
Allow guests to write reviews,Cho phép khách viết nhận xét
Are you sure you want to do this?,Bạn có chắc làm không?
Are you sure?,Bạn có chắc chắn?
Average Customer Rating,Đánh giá trung bình của khách hàng
Average Customer Rating:,Đánh giá trung bình của khách hàng:
Back,Quay lại
Back to Main Product Info,Quay lại thông tin sản phẩm chính
Back to My Reviews,Quay lại mục đánh giá của tôi
Back to Product Reviews,Quay lại mục nhận xét sản phẩm
Be the first to review this product,Hãy là người nhận xét sản phầm này đầu tiên
Close,Đóng
Created On,Tạo vào
Customer,Khách hàng
Customer Reviews,Nhận xét của khách hàng
Delete,Xóa
Delete Review,Xóa nhận xét
Detailed Rating,Chi tiết đánh giá
Edit Review '%s',Sửa đánh giá '%s'
Guest,Khách
How do you rate this product ?,Bạn đánh giá sản phẩm này như thế nào ?
ID,ID
Manage Ratings,Quản lý đánh giá
"My Product Reviews", "Nhận xét của tôi"
My Recent Reviews,Đánh giá gần đây của tôi
Name,Tên
Name In Store,Tên trong cửa hàng
New Review,Nhận xét mới
Nickname,Tên hiệu
Pending Reviews,Nhận xét đang treo
Pending reviews,Nhận xét đang treo
Pending reviews of customer `%s`,Nhận xét đang treo của khách hàng `%s`
Please select a product,Lựa chọn 1 sản phẩm
Please select one of each of the ratings above,Lựa chọn một trong các đánh giá phía trên
Posted By,Gửi bởi
Price,Giá cả
Product,Sản phẩm
Product Name,Tên sản phẩm
Product Rating,Đánh giá sản phẩm
Product Rating:,Đánh giá sản phẩm:
Product Review (submitted on %s):,Nhận xét sản phẩm (Gửi vào %s):
Product Reviews,Nhận xét sản phẩm
Product SKU,SKU sản phẩm
Qty,Số lượng
Quality,Chất lượng
Rating:,Đánh giá:
Read Review,Đọc nhận xét
Review,Nhận xét
Review Details,Chi tiết nhận xét
Review by %s,Nhận xét bởi %s
Reviews and Ratings,Nhận xét và đánh giá
SKU,Mã sản phẩn
Save Review,Lưu nhận xét
Status,Trạng thái
Submit Review,Gửi nhận xét
Summary Rating,Tổng kết đánh giá
Summary of Review,Tổng kết đánh giá
Summary of Your Review,Tổng kết đánh giá của bạn
Summary of review,Tổng kết nhận xét
Title,Tiêu đề
Type,Loại
"Unable to post review. Please, try again later.",Không thể gửi bài. Vui lòng gửi lại sau.
Update status,Trạng thái cập nhật
Value,Giá trị
View All Reviews,Xem tất cả các nhận xét
View Details,Xem chi tiết
Visible In,Hiển thị trong
Websites,Websites
Write Review,Viết nhận xét
Write Your Own Review,Viết nhận xét của bạn
You have submitted no reviews.,Bạn đã không gửi nhận xét.
You're reviewing: %s,Bạn đang đánh giá: %s
Your Rating:,Đánh giá của bạn:
Your Review (submitted on %s):,Đánh giá của bạn (Gửi vào %s):
Your review has been accepted for moderation,Nhận xét của bạn đã được chấp nhận để duyệt.
