# of Uses,# of Uses
%s tag(s) have been accepted for moderation,%s tag(s) đã được chấp nhận để kiểm duyệt
Action,Action
Actions,Actions
Add New Tag,Add New Tag
Add Tags,Thêm Tag
Add Your Tags:,Thêm tag của bạn:
Add to Cart,Cho vào giỏ
Add to Wishlist,Thêm vào danh sách ưa thích
All Tags,All Tags
Approved,Approved
Are you sure that you want to delete this tag?,Are you sure that you want to delete this tag?
Are you sure you want to delete this tag?,Are you sure you want to delete this tag?
Are you sure you want to do this?,Are you sure you want to do this?
Are you sure?,Are you sure?
Back,Trở lại
Back to Tags List,Quay lại danh sách tag
Back to view Tag,Quay lại xem tag
Block Information,Block Information
CSV,CSV
Change status,Thay đổi trạng thái
Click on a tag to view your corresponding products.,Nhấp chuột vào một từ khóa để xem các sản phẩm tương ứng.
Country,Country
Customer Since,Customer Since
Customers,Khách hàng
Customers Tagged '%s',Customers Tagged '%s'
Delete,Xóa
Delete Tag,Loại bỏ tag
Disabled,Disabled
Edit Tag,Sửa tag
Edit Tag '%s',Sửa tag '%s'
Email,Email
First Name,Họ
General Information,General Information
Grid,Grid
ID,ID
Last Name,Last Name
List,List
My Recent Tags,My Recent Tags
My Tags,My Tags
Name,Name
New Tag,New Tag
No matches found.,No matches found.
Other people marked this product with these tags:,Sản phẩm này đã được đánh dấu bởi các tag:
Pending,Pending
Pending Tags,Pending Tags
Popular,Popular
Popular Tags,Popular Tags
Popularity,Popularity
Price,Price
Product Name,Product Name
Product SKU,Product SKU
Product Tags,Tag sản phẩm
Products,Products
Products Tagged with '%s',Products Tagged with '%s'
Products tagged with '%s',Products tagged with '%s'
Products tagged with '%s' (<a href='%s'>RSS</a>),Products tagged with '%s' (<a href='%s'>RSS</a>)
SKU,Mã sản phẩn
Save Tag,Lưu Tag
Search Results for '%s' (<a href='%s'>RSS</a>),Search Results for '%s' (<a href='%s'>RSS</a>)
Search Terms,Search Terms
Status,Status
Tag,Tag
"Tag ""%s"" has already been added to the product","Tag ""%s"" đã được thêm cho sản phẩm này"
Tag Information,Thông tin tag
Tag Name,Tên tag
Tag Name: %s,Tên tag: %s
Tag can\'t be empty.,Tag can\'t be empty.
Tagged in,Tagged in
Tags,Tags
Tags Aren't Available,Tags Aren't Available
Tags:,Tags:
Telephone,Telephone
Thank you. Your tag has been accepted for moderation.,Thank you. Your tag has been accepted for moderation.
Unable to find any products tagged with '%s' in the current store,Unable to find any products tagged with '%s' in the current store
"Unable to remove tag. Please, try again later.","Unable to remove tag. Please, try again later."
Unable to save tag(s),Unable to save tag(s)
"Unable to save your tag. Please, try again later.","Unable to save your tag. Please, try again later."
Use spaces to separate tags. Use single quotes (') for phrases.,Sử dụng khoảng trắng để phân cách các tag. Sử dụng dấu ngoặc đơn (' ') cho các cụm từ.
Uses,Uses
View All Tags,View All Tags
View Customers,View Customers
View Products,View Products
Visible In,Visible In
XML,XML
You have not tagged any products yet.,You have not tagged any products yet.
Your tag was successfully deleted,Your tag was successfully deleted
Your tag was successfully saved,Your tag was successfully saved
ZIP/Post Code,ZIP/Post Code
